source_pop,treatment,vial 
Parthenogenic females,Females Only,F1
Parthenogenic females,Females Only,F2
Parthenogenic females,Females Only,F3
Parthenogenic females,Females Only,F4
Parthenogenic females,Females Only,F5
Parthenogenic females,Females Only,F6
Parthenogenic females,Females Only,F7
Parthenogenic females,Females Only,F8
Parthenogenic females,Females Only,F9
Parthenogenic females,Females Only,F10
Parthenogenic females,X Spermless Males,S1
Parthenogenic females,X Spermless Males,S2
Parthenogenic females,X Spermless Males,S3
Parthenogenic females,X Spermless Males,S4
Parthenogenic females,X Spermless Males,S5
Parthenogenic females,X Spermless Males,S6
Parthenogenic females,X Spermless Males,S7
Parthenogenic females,X Spermless Males,S8
Parthenogenic females,X Spermless Males,S9
Parthenogenic females,X Spermless Males,S10
