Week,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2,1,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,3,0,0,0
3,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0
4,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
